ds,y
2013-11-16,25710
2013-11-17,27248
2013-11-18,18251
2013-11-19,21276
2013-11-20,21413
2013-11-21,22566
2013-11-22,24461
2013-11-23,25820
2013-11-24,27319
2013-11-25,18260
2013-11-26,21145
2013-11-27,21306
2013-11-28,22574
2013-11-29,24308
2013-11-30,25703
2013-12-01,19357
2013-12-02,13141
2013-12-03,15226
2013-12-04,15280
2013-12-05,16227
2013-12-06,17429
2013-12-07,18609
2013-12-08,19287
2013-12-09,12942
2013-12-10,15171
2013-12-11,15230
2013-12-12,16316
2013-12-13,17284
2013-12-14,18335
2013-12-15,19738
2013-12-16,13088
2013-12-17,14975
2013-12-18,15104
2013-12-19,16132
2013-12-20,17173
2013-12-21,18511
2013-12-22,19693
2013-12-23,13038
2013-12-24,15126
2013-12-25,15351
2013-12-26,16214
2013-12-27,17047
2013-12-28,18433
2013-12-29,19148
2013-12-30,12958
2013-12-31,15044
2014-01-01,15556
2014-01-02,17033
2014-01-03,17746
2014-01-04,19184
2014-01-05,20182
2014-01-06,13438
2014-01-07,15664
2014-01-08,15682
2014-01-09,16975
2014-01-10,17957
2014-01-11,18925
2014-01-12,19973
2014-01-13,13408
2014-01-14,15738
2014-01-15,15590
2014-01-16,17015
2014-01-17,17888
2014-01-18,18964
2014-01-19,20093
2014-01-20,13520
2014-01-21,15484
2014-01-22,15725
2014-01-23,16746
2014-01-24,18260
2014-01-25,19179
2014-01-26,20232
2014-01-27,13469
2014-01-28,15725
2014-01-29,15664
2014-01-30,16899
2014-01-31,18073
2014-02-01,21074
2014-02-02,22709
2014-02-03,15055
2014-02-04,17488
2014-02-05,17763
2014-02-06,18836
2014-02-07,19780
2014-02-08,21400
2014-02-09,22544
2014-02-10,14817
2014-02-11,17457
2014-02-12,17386
2014-02-13,18565
2014-02-14,19992
2014-02-15,21063
2014-02-16,22409
2014-02-17,14814
2014-02-18,17407
2014-02-19,17556
2014-02-20,18755
2014-02-21,19872
2014-02-22,21066
2014-02-23,22515
2014-02-24,15126
2014-02-25,17419
2014-02-26,17682
2014-02-27,18602
2014-02-28,19965
2014-03-01,25245
2014-03-02,26956
2014-03-03,17983
2014-03-04,21160
2014-03-05,21097
2014-03-06,22364
2014-03-07,24118
2014-03-08,25273
2014-03-09,26992
2014-03-10,17878
2014-03-11,20909
2014-03-12,20798
2014-03-13,22427
2014-03-14,24076
2014-03-15,25687
2014-03-16,26959
2014-03-17,17885
2014-03-18,20876
2014-03-19,20864
2014-03-20,22165
2014-03-21,23846
2014-03-22,25458
2014-03-23,26990
2014-03-24,17895
2014-03-25,20666
2014-03-26,21021
2014-03-27,22387
2014-03-28,23942
2014-03-29,25452
2014-03-30,26951
2014-03-31,17981
2014-04-01,24103
2014-04-02,24301
2014-04-03,26418
2014-04-04,27696
2014-04-05,29703
2014-04-06,31780
2014-04-07,20951
2014-04-08,24539
2014-04-09,24431
2014-04-10,26201
2014-04-11,27741
2014-04-12,29516
2014-04-13,31455
2014-04-14,20991
2014-04-15,24536
2014-04-16,24438
2014-04-17,26447
2014-04-18,27681
2014-04-19,29683
2014-04-20,31447
2014-04-21,20859
2014-04-22,24655
2014-04-23,24392
2014-04-24,25999
2014-04-25,27897
2014-04-26,29580
2014-04-27,31587
2014-04-28,20836
2014-04-29,24516
2014-04-30,24535
2014-05-01,28151
2014-05-02,30139
2014-05-03,31794
2014-05-04,33676
2014-05-05,22378
2014-05-06,26479
2014-05-07,25984
2014-05-08,27778
2014-05-09,29749
2014-05-10,31806
2014-05-11,33507
2014-05-12,22696
2014-05-13,26378
2014-05-14,26333
2014-05-15,28119
2014-05-16,29776
2014-05-17,32158
2014-05-18,33673
2014-05-19,22323
2014-05-20,26124
2014-05-21,26264
2014-05-22,27950
2014-05-23,29521
2014-05-24,31836
2014-05-25,33514
2014-05-26,22496
2014-05-27,26289
2014-05-28,26186
2014-05-29,28034
2014-05-30,30031
2014-05-31,31735
2014-06-01,35900
2014-06-02,23934
2014-06-03,27617
2014-06-04,28218
2014-06-05,29873
2014-06-06,31662
2014-06-07,33478
2014-06-08,35783
2014-06-09,23951
2014-06-10,28081
2014-06-11,27903
2014-06-12,29754
2014-06-13,31897
2014-06-14,34206
2014-06-15,36461
2014-06-16,24053
2014-06-17,28005
2014-06-18,28032
2014-06-19,30049
2014-06-20,32021
2014-06-21,34410
2014-06-22,35673
2014-06-23,24196
2014-06-24,27551
2014-06-25,28036
2014-06-26,30294
2014-06-27,32013
2014-06-28,34048
2014-06-29,35998
2014-06-30,23745
2014-07-01,29579
2014-07-02,29762
2014-07-03,31782
2014-07-04,33961
2014-07-05,36006
2014-07-06,38209
2014-07-07,25578
2014-07-08,29800
2014-07-09,29318
2014-07-10,31885
2014-07-11,33769
2014-07-12,36069
2014-07-13,37848
2014-07-14,25248
2014-07-15,29718
2014-07-16,29528
2014-07-17,31792
2014-07-18,34170
2014-07-19,35808
2014-07-20,38144
2014-07-21,25612
2014-07-22,29399
2014-07-23,29268
2014-07-24,31646
2014-07-25,34104
2014-07-26,36260
2014-07-27,38318
2014-07-28,25322
2014-07-29,29621
2014-07-30,29711
2014-07-31,31775
2014-08-01,29642
2014-08-02,31897
2014-08-03,33246
2014-08-04,22345
2014-08-05,26079
2014-08-06,26257
2014-08-07,27901
2014-08-08,29827
2014-08-09,31695
2014-08-10,33779
2014-08-11,22391
2014-08-12,26083
2014-08-13,26014
2014-08-14,28076
2014-08-15,29659
2014-08-16,31769
2014-08-17,33894
2014-08-18,22459
2014-08-19,26039
2014-08-20,26100
2014-08-21,27962
2014-08-22,29512
2014-08-23,31607
2014-08-24,33539
2014-08-25,22324
2014-08-26,26317
2014-08-27,26085
2014-08-28,27809
2014-08-29,29959
2014-08-30,31719
2014-08-31,33611
2014-09-01,20772
2014-09-02,24341
2014-09-03,24387
2014-09-04,26218
2014-09-05,28026
2014-09-06,29445
2014-09-07,31581
2014-09-08,20996
2014-09-09,24486
2014-09-10,24514
2014-09-11,25909
2014-09-12,27723
2014-09-13,29808
2014-09-14,31629
2014-09-15,21119
2014-09-16,24443
2014-09-17,24439
2014-09-18,26266
2014-09-19,28130
2014-09-20,29770
2014-09-21,31388
2014-09-22,21022
2014-09-23,24423
2014-09-24,24220
2014-09-25,26262
2014-09-26,27575
2014-09-27,29745
2014-09-28,31266
2014-09-29,20932
2014-09-30,24289
2014-10-01,22672
2014-10-02,24589
2014-10-03,25866
2014-10-04,27581
2014-10-05,29000
2014-10-06,19523
2014-10-07,22345
2014-10-08,22866
2014-10-09,24245
2014-10-10,25736
2014-10-11,27251
2014-10-12,29066
2014-10-13,19517
2014-10-14,22779
2014-10-15,22462
2014-10-16,23929
2014-10-17,25753
2014-10-18,27647
2014-10-19,29173
2014-10-20,19415
2014-10-21,22814
2014-10-22,22864
2014-10-23,24325
2014-10-24,25959
2014-10-25,27547
2014-10-26,29107
2014-10-27,19401
2014-10-28,22657
2014-10-29,22680
2014-10-30,24211
2014-10-31,25903
2014-11-01,29728
2014-11-02,31225
2014-11-03,21085
2014-11-04,24251
2014-11-05,24300
2014-11-06,26394
2014-11-07,27867
2014-11-08,29582
2014-11-09,31175
2014-11-10,20722
2014-11-11,24552
2014-11-12,24561
2014-11-13,26238
2014-11-14,28003
2014-11-15,29736
2014-11-16,31354
2014-11-17,20880
2014-11-18,24357
2014-11-19,24476
2014-11-20,26057
2014-11-21,27690
2014-11-22,29744
2014-11-23,31505
2014-11-24,21103
2014-11-25,24492
2014-11-26,24623
2014-11-27,26079
2014-11-28,28029
2014-11-29,29651
2014-11-30,31324
2014-12-01,14986
2014-12-02,17517
2014-12-03,17328
2014-12-04,18689
2014-12-05,19966
2014-12-06,21245
2014-12-07,22015
2014-12-08,15057
2014-12-09,17656
2014-12-10,17429
2014-12-11,18691
2014-12-12,19874
2014-12-13,21291
2014-12-14,22468
2014-12-15,14756
2014-12-16,17518
2014-12-17,17689
2014-12-18,18733
2014-12-19,20006
2014-12-20,20945
2014-12-21,22497
2014-12-22,15052
2014-12-23,17498
2014-12-24,17274
2014-12-25,18607
2014-12-26,19879
2014-12-27,21317
2014-12-28,22532
2014-12-29,14888
2014-12-30,17407
2014-12-31,17238
2015-01-01,17226
2015-01-02,18719
2015-01-03,19798
2015-01-04,21101
2015-01-05,14235
2015-01-06,16424
2015-01-07,16273
2015-01-08,17687
2015-01-09,18816
2015-01-10,19939
2015-01-11,21161
2015-01-12,13968
2015-01-13,16418
2015-01-14,16542
2015-01-15,17596
2015-01-16,18490
2015-01-17,19967
2015-01-18,21025
2015-01-19,14168
2015-01-20,16309
2015-01-21,16381
2015-01-22,17630
2015-01-23,18720
2015-01-24,19820
2015-01-25,21212
2015-01-26,14069
2015-01-27,16418
2015-01-28,16457
2015-01-29,17272
2015-01-30,18772
2015-01-31,19900
2015-02-01,23395
2015-02-02,15583
2015-02-03,18109
2015-02-04,18129
2015-02-05,19549
2015-02-06,20807
2015-02-07,22209
2015-02-08,23586
2015-02-09,15756
2015-02-10,18379
2015-02-11,18330
2015-02-12,19513
2015-02-13,20586
2015-02-14,22041
2015-02-15,23276
2015-02-16,15509
2015-02-17,18261
2015-02-18,18167
2015-02-19,19773
2015-02-20,20843
2015-02-21,22021
2015-02-22,23501
2015-02-23,15493
2015-02-24,18100
2015-02-25,18161
2015-02-26,19592
2015-02-27,20709
2015-02-28,21939
2015-03-01,28266
2015-03-02,18676
2015-03-03,21866
2015-03-04,21850
2015-03-05,23536
2015-03-06,24881
2015-03-07,26729
2015-03-08,28151
2015-03-09,18575
2015-03-10,21732
2015-03-11,21864
2015-03-12,23506
2015-03-13,25084
2015-03-14,26436
2015-03-15,28128
2015-03-16,18880
2015-03-17,21806
2015-03-18,21819
2015-03-19,23176
2015-03-20,25513
2015-03-21,26611
2015-03-22,28296
2015-03-23,18606
2015-03-24,21887
2015-03-25,21688
2015-03-26,23218
2015-03-27,24810
2015-03-28,26389
2015-03-29,28255
2015-03-30,18910
2015-03-31,21807
2015-04-01,25302
2015-04-02,27441
2015-04-03,29424
2015-04-04,30829
2015-04-05,32725
2015-04-06,21875
2015-04-07,25554
2015-04-08,25013
2015-04-09,27528
2015-04-10,29001
2015-04-11,31027
2015-04-12,32972
2015-04-13,21687
2015-04-14,25281
2015-04-15,25078
2015-04-16,27477
2015-04-17,29424
2015-04-18,31103
2015-04-19,33013
2015-04-20,21693
2015-04-21,25243
2015-04-22,25459
2015-04-23,27391
2015-04-24,29015
2015-04-25,30837
2015-04-26,32965
2015-04-27,21792
2015-04-28,25437
2015-04-29,25375
2015-04-30,27506
2015-05-01,31268
2015-05-02,33053
2015-05-03,34732
2015-05-04,23355
2015-05-05,27256
2015-05-06,27375
2015-05-07,29216
2015-05-08,31214
2015-05-09,33102
2015-05-10,35067
2015-05-11,23295
2015-05-12,27255
2015-05-13,27244
2015-05-14,29545
2015-05-15,31220
2015-05-16,33216
2015-05-17,35300
2015-05-18,23409
2015-05-19,27512
2015-05-20,27574
2015-05-21,29428
2015-05-22,30977
2015-05-23,33135
2015-05-24,35124
2015-05-25,23434
2015-05-26,27535
2015-05-27,27340
2015-05-28,29231
2015-05-29,31379
2015-05-30,33074
2015-05-31,35037
2015-06-01,24904
2015-06-02,29260
2015-06-03,29111
2015-06-04,31413
2015-06-05,33351
2015-06-06,35314
2015-06-07,37528
2015-06-08,24907
2015-06-09,29264
2015-06-10,29056
2015-06-11,31403
2015-06-12,33313
2015-06-13,35597
2015-06-14,37802
2015-06-15,24819
2015-06-16,29246
2015-06-17,29104
2015-06-18,31188
2015-06-19,33201
2015-06-20,35337
2015-06-21,37431
2015-06-22,24773
2015-06-23,29165
2015-06-24,29154
2015-06-25,31048
2015-06-26,33415
2015-06-27,35251
2015-06-28,37410
2015-06-29,25074
2015-06-30,29345
2015-07-01,30703
2015-07-02,33134
2015-07-03,35498
2015-07-04,37776
2015-07-05,39740
2015-07-06,26519
2015-07-07,30916
2015-07-08,31200
2015-07-09,32963
2015-07-10,35418
2015-07-11,37640
2015-07-12,39794
2015-07-13,26708
2015-07-14,30928
2015-07-15,31097
2015-07-16,33179
2015-07-17,35368
2015-07-18,37568
2015-07-19,39667
2015-07-20,26777
2015-07-21,30881
2015-07-22,31013
2015-07-23,33244
2015-07-24,35459
2015-07-25,37608
2015-07-26,39536
2015-07-27,26406
2015-07-28,30946
2015-07-29,30912
2015-07-30,33443
2015-07-31,35309
2015-08-01,33345
2015-08-02,35387
2015-08-03,23701
2015-08-04,27120
2015-08-05,27202
2015-08-06,29477
2015-08-07,31296
2015-08-08,33312
2015-08-09,35331
2015-08-10,23336
2015-08-11,27228
2015-08-12,27069
2015-08-13,29310
2015-08-14,31302
2015-08-15,33119
2015-08-16,35148
2015-08-17,23547
2015-08-18,27094
2015-08-19,27417
2015-08-20,29293
2015-08-21,31598
2015-08-22,33080
2015-08-23,35223
2015-08-24,23355
2015-08-25,27058
2015-08-26,27259
2015-08-27,29414
2015-08-28,31286
2015-08-29,33113
2015-08-30,35404
2015-08-31,23577
2015-09-01,25375
2015-09-02,25486
2015-09-03,27467
2015-09-04,29415
2015-09-05,30808
2015-09-06,32969
2015-09-07,21833
2015-09-08,25362
2015-09-09,25604
2015-09-10,27349
2015-09-11,29173
2015-09-12,30496
2015-09-13,32896
2015-09-14,21728
2015-09-15,25728
2015-09-16,25589
2015-09-17,27367
2015-09-18,29161
2015-09-19,30976
2015-09-20,32869
2015-09-21,22012
2015-09-22,25355
2015-09-23,25368
2015-09-24,27391
2015-09-25,29104
2015-09-26,30867
2015-09-27,32705
2015-09-28,21847
2015-09-29,25587
2015-09-30,25445
2015-10-01,25417
2015-10-02,27127
2015-10-03,28730
2015-10-04,30353
2015-10-05,20370
2015-10-06,23618
2015-10-07,23594
2015-10-08,25260
2015-10-09,26685
2015-10-10,28478
2015-10-11,30534
2015-10-12,20316
2015-10-13,23738
2015-10-14,23548
2015-10-15,25339
2015-10-16,26984
2015-10-17,28702
2015-10-18,30511
2015-10-19,20182
2015-10-20,23680
2015-10-21,23677
2015-10-22,25347
2015-10-23,27057
2015-10-24,28733
2015-10-25,30639
2015-10-26,20188
2015-10-27,23651
2015-10-28,23792
2015-10-29,24999
2015-10-30,27160
2015-10-31,28844
2015-11-01,32817
2015-11-02,21871
2015-11-03,25586
2015-11-04,25555
2015-11-05,27526
2015-11-06,29107
2015-11-07,30781
2015-11-08,32839
2015-11-09,21544
2015-11-10,25442
2015-11-11,25533
2015-11-12,27332
2015-11-13,29194
2015-11-14,31112
2015-11-15,32854
2015-11-16,21942
2015-11-17,25672
2015-11-18,25412
2015-11-19,27287
2015-11-20,29165
2015-11-21,31082
2015-11-22,32732
2015-11-23,21653
2015-11-24,25667
2015-11-25,25490
2015-11-26,27637
2015-11-27,29359
2015-11-28,30957
2015-11-29,32834
2015-11-30,21663
2015-12-01,18016
2015-12-02,18243
2015-12-03,19543
2015-12-04,20652
2015-12-05,22237
2015-12-06,23745
2015-12-07,15550
2015-12-08,18296
2015-12-09,18273
2015-12-10,19299
2015-12-11,20780
2015-12-12,22122
2015-12-13,23290
2015-12-14,15663
2015-12-15,18454
2015-12-16,18517
2015-12-17,19401
2015-12-18,20837
2015-12-19,21835
2015-12-20,23579
2015-12-21,15669
2015-12-22,18008
2015-12-23,18031
2015-12-24,19591
2015-12-25,20877
2015-12-26,22256
2015-12-27,23268
2015-12-28,15569
2015-12-29,18403
2015-12-30,18191
2015-12-31,19377
2016-01-01,20158
2016-01-02,21280
2016-01-03,22911
2016-01-04,15199
2016-01-05,17806
2016-01-06,17789
2016-01-07,19107
2016-01-08,20265
2016-01-09,21309
2016-01-10,22811
2016-01-11,15385
2016-01-12,17721
2016-01-13,17649
2016-01-14,19287
2016-01-15,20354
2016-01-16,21665
2016-01-17,22813
2016-01-18,15100
2016-01-19,17804
2016-01-20,17952
2016-01-21,18975
2016-01-22,20243
2016-01-23,21515
2016-01-24,22774
2016-01-25,15271
2016-01-26,17794
2016-01-27,18023
2016-01-28,19016
2016-01-29,20209
2016-01-30,21535
2016-01-31,22719
2016-02-01,17009
2016-02-02,19801
2016-02-03,19773
2016-02-04,20981
2016-02-05,22494
2016-02-06,23999
2016-02-07,25046
2016-02-08,17031
2016-02-09,19880
2016-02-10,19560
2016-02-11,21257
2016-02-12,22517
2016-02-13,24040
2016-02-14,25234
2016-02-15,16911
2016-02-16,19764
2016-02-17,19858
2016-02-18,21016
2016-02-19,22721
2016-02-20,23977
2016-02-21,25500
2016-02-22,17037
2016-02-23,19798
2016-02-24,19528
2016-02-25,21195
2016-02-26,22588
2016-02-27,24090
2016-02-28,25436
2016-02-29,16916
2016-03-01,23682
2016-03-02,23554
2016-03-03,25696
2016-03-04,27149
2016-03-05,28965
2016-03-06,30323
2016-03-07,20090
2016-03-08,23593
2016-03-09,23866
2016-03-10,25416
2016-03-11,27368
2016-03-12,28715
2016-03-13,30321
2016-03-14,20454
2016-03-15,23707
2016-03-16,23510
2016-03-17,25547
2016-03-18,27266
2016-03-19,28717
2016-03-20,30461
2016-03-21,20379
2016-03-22,23905
2016-03-23,23729
2016-03-24,25420
2016-03-25,26887
2016-03-26,28640
2016-03-27,30491
2016-03-28,20448
2016-03-29,23688
2016-03-30,23769
2016-03-31,25125
2016-04-01,31715
2016-04-02,33021
2016-04-03,35681
2016-04-04,23543
2016-04-05,27601
2016-04-06,27490
2016-04-07,29716
2016-04-08,31612
2016-04-09,33617
2016-04-10,35731
2016-04-11,23813
2016-04-12,27621
2016-04-13,27507
2016-04-14,29504
2016-04-15,31445
2016-04-16,33306
2016-04-17,35747
2016-04-18,23660
2016-04-19,27752
2016-04-20,27627
2016-04-21,29403
2016-04-22,31583
2016-04-23,33316
2016-04-24,35576
2016-04-25,23614
2016-04-26,27858
2016-04-27,27531
2016-04-28,29657
2016-04-29,31920
2016-04-30,33783
2016-05-01,37851
2016-05-02,25303
2016-05-03,29568
2016-05-04,29903
2016-05-05,31698
2016-05-06,34013
2016-05-07,35855
2016-05-08,38319
2016-05-09,25444
2016-05-10,29485
2016-05-11,29448
2016-05-12,31945
2016-05-13,33813
2016-05-14,35516
2016-05-15,37877
2016-05-16,25588
2016-05-17,29539
2016-05-18,29725
2016-05-19,31731
2016-05-20,34089
2016-05-21,35575
2016-05-22,37914
2016-05-23,25452
2016-05-24,29351
2016-05-25,29502
2016-05-26,31527
2016-05-27,33980
2016-05-28,36081
2016-05-29,38372
2016-05-30,25008
2016-05-31,29258
2016-06-01,31697
2016-06-02,33837
2016-06-03,35816
2016-06-04,38188
2016-06-05,40814
2016-06-06,27517
2016-06-07,31647
2016-06-08,31561
2016-06-09,33981
2016-06-10,36021
2016-06-11,38335
2016-06-12,40709
2016-06-13,27062
2016-06-14,31685
2016-06-15,31566
2016-06-16,33888
2016-06-17,36221
2016-06-18,38032
2016-06-19,40460
2016-06-20,27024
2016-06-21,31377
2016-06-22,31960
2016-06-23,33941
2016-06-24,36147
2016-06-25,38364
2016-06-26,40921
2016-06-27,26884
2016-06-28,31539
2016-06-29,31638
2016-06-30,33832
2016-07-01,38583
